Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Greece,GRC,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Greenland,GRL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Greenland,GRL,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Greenland,GRL,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Grenada,GRD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Grenada,GRD,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Grenada,GRD,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,5.02017546263979,4.78356593555422
Guam,GUM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Guam,GUM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Guam,GUM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Guatemala,GTM,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Guatemala,GTM,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Guatemala,GTM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,5.52124897673632,5.04082743457324
Guinea,GIN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Guinea,GIN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Guinea,GIN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.97352120722283,0.750400071367733
Guinea-Bissau,GNB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Guinea-Bissau,GNB,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Guinea-Bissau,GNB,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.983995018850149,1.17529131170991
Guyana,GUY,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Guyana,GUY,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Guyana,GUY,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,2.92581728177231,2.69848571037849
Haiti,HTI,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Haiti,HTI,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Haiti,HTI,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.116387167217002,0.149923699143542
Honduras,HND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Honduras,HND,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Honduras,HND,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,4.62496446894257,3.71683762681895
"Hong Kong SAR, China",HKG,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
"Hong Kong SAR, China",HKG,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
"Hong Kong SAR, China",HKG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Hungary,HUN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Hungary,HUN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Hungary,HUN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Iceland,ISL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Iceland,ISL,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Iceland,ISL,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
India,IND,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
India,IND,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
India,IND,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,2.37113070607014,1.81287410093011
Indonesia,IDN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Indonesia,IDN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Indonesia,IDN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,5.47955223548767,7.53242992415141
"Iran, Islamic Rep.",IRN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
"Iran, Islamic Rep.",IRN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
"Iran, Islamic Rep.",IRN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,0.0424580399728386,..
Iraq,IRQ,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Iraq,IRQ,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Iraq,IRQ,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Ireland,IRL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Ireland,IRL,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Ireland,IRL,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Isle of Man,IMN,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Isle of Man,IMN,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Isle of Man,IMN,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
Israel,ISR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..
Israel,ISR,"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,..,..
Israel,ISR,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,..,..
